commodity,model,mae_mean,rmse_mean,r2_mean,direction_acc_mean,n_windows
corn,sarimax,0.03521176996638125,0.04581678406363405,0.10408744378367756,0.6011904761904762,14
corn,seasonal_naive,0.03606919194646206,0.04773003008990096,0.03763954543006933,0.5863095238095238,14
soybean,sarimax,0.03209714354048423,0.04218959147274641,0.022180991037021917,0.5892857142857143,14
soybean,seasonal_naive,0.03264395975190127,0.042766595811229206,-0.015426086037853306,0.5982142857142857,14
wheat,sarimax,0.034230423738990795,0.0446734068717104,0.08817668743635669,0.6696428571428571,14
wheat,seasonal_naive,0.03569883950575519,0.04659733765879544,0.016754329379168265,0.5863095238095238,14
