target_variant,model,mae_mean,rmse_mean,rmse_median,r2_mean,r2_median,direction_acc_mean,n_windows
deseason_winsor,elastic_net,0.03471788142595908,0.0458061003474798,0.04558087900419064,0.051360795928191316,0.11082478724486283,0.615079365079365,14
deseason_winsor,hist_gbdt,0.03455196989593705,0.045872805898890846,0.045955038654288086,0.0554537653344576,0.0717926399608127,0.611111111111111,14
deseason_winsor,seasonal_naive,0.03480399706803951,0.04660424622139046,0.048286379731980016,0.03018367487667104,0.025183307606488403,0.5902777777777778,14
raw,hist_gbdt,0.034399030223684464,0.04545083160474705,0.04502434031774206,0.06934822330651089,0.10142065238426556,0.6140873015873015,14
raw,seasonal_naive,0.03480399706803951,0.04660424622139046,0.048286379731980016,0.03018367487667104,0.025183307606488403,0.5902777777777778,14
raw,elastic_net,0.03545191856805634,0.046676203830022765,0.04563349720659185,0.018215993863759303,0.08208299623007043,0.5912698412698413,14
